word	pos	year	freq	total_nmeanings	ncrosses	nmeanings
cavillation	n	138	2	2	1	1
chooser	n	138	4	1	0	1
Sarabaite	n	138	2	1	0	1
stent1	n	138	4	1	0	1
warden2	n	138	4	1	0	1
stirrup-leather	n	139	3	1	0	1
saˈlute2	n	145	3	1	0	1
stenlock	n	179	2	1	0	1
cruster	n	188	2	1	0	1
ent2	n	188	5	1	0	1
ˈwitereden	n	688	1	1	0	1
wichwych	n	716	4	1	0	1
lea1	n	778	4	1	0	1
suling	n	805	3	1	0	1
wey1	n	805	3	2	1	1
bairn	n	830	4	1	0	1
tyetie2	n	832	3	1	0	1
tor	n	847	5	2	1	1
holy well	n	854	3	1	0	1
saltern	n	858	3	1	0	1
ˈeavesdripˈeavesdrop	n	868	3	1	0	1
wish2	n	898	3	1	0	1
ham2	n	901	4	1	0	1
link1	n	931	5	1	0	1
hoard1	n	937	5	3	2	1
hedgerow	n	940	4	1	0	1
hoarder	n	944	4	2	1	1
lake3	n	955	4	1	0	1
land-boc	n	961	2	1	0	1
bliss	n	971	5	4	3	1
grimness	n	971	4	1	0	1
lave1	n	971	4	2	1	1
stepchild	n	971	4	2	1	1
ˈwareness	n	971	2	1	0	1
wong	n	971	3	1	0	1
shrub1	n	972	5	3	2	1
Bath2	n	973	4	1	0	1
ˈwheat-land	n	977	3	1	0	1
trouse1	n	978	2	1	0	1
ˈhorse-way	n	985	2	1	0	1
laen	n	985	2	1	0	1
archbishopric	n	994	4	1	0	1
evilness	n	1000	3	4	3	1
heregeld	n	1018	2	1	0	1
sac1	n	1020	5	1	0	1
DanegeldDanegelt	n	1086	3	1	0	1
ˈconveth	n	1127	2	1	0	1
letch1	n	1138	2	1	0	1
tensertensor	n	1154	4	1	0	1
pedder	n	1166	2	1	0	1
pounder3	n	1176	3	2	1	1
Domesday	n	1178	4	1	0	1
yairyare	n	1178	2	1	0	1
portmanmoot	n	1185	2	1	0	1
swanimoteswainmote	n	1189	2	1	0	1
pigman1	n	1190	2	1	0	1
ferryman	n	1192	4	1	0	1
tithing penny	n	1192	2	1	0	1
town end	n	1192	2	1	0	1
utas2	n	1202	2	1	0	1
pinder	n	1218	2	1	0	1
lockyer	n	1221	2	1	0	1
firebote	n	1222	2	1	0	1
plough timberplow timber	n	1222	2	1	0	1
seed field	n	1222	3	1	0	1
water lade	n	1224	1	1	0	1
dubber1	n	1225	2	2	1	1
dogdrave	n	1227	1	2	1	1
parchmenter	n	1227	2	1	0	1
through-toll	n	1228	2	1	0	1
popple1	n	1229	2	1	0	1
